Time (s),Core 0 Uncore Frequency (GHz),Core 1 Uncore Frequency (GHz)
0.10016655921936035,2.2,2.1
0.2752382755279541,2.2,2.2
0.4472336769104004,2.2,2.2
0.6233909130096436,2.2,2.2
0.844252347946167,2.2,2.2
1.0261378288269043,2.2,2.2
1.2037498950958252,2.2,2.2
1.3780741691589355,2.2,2.2
1.548140287399292,2.2,2.2
1.7150909900665283,2.2,2.2
1.8931710720062256,2.2,2.2
2.062192440032959,2.2,2.2
2.2253262996673584,2.2,2.2
2.390141248703003,2.2,2.2
2.5539093017578125,2.2,2.2
2.7189900875091553,2.2,2.2
2.8922231197357178,2.2,2.2
3.067854166030884,2.2,2.2
3.2386584281921387,2.2,2.2
3.393380641937256,2.2,2.2
3.548532009124756,2.2,2.2
3.7040538787841797,2.2,2.2
3.871400833129883,2.2,2.2
4.038657903671265,2.2,2.2
4.206348896026611,1.6,1.6
4.407304286956787,1.6,1.5
4.616415500640869,2.2,2.2
4.799960136413574,2.2,2.2
4.966047763824463,2.2,2.2
5.140355110168457,2.2,2.2
5.3163557052612305,2.2,2.2
5.490170240402222,2.2,2.2
5.661438703536987,2.2,2.2
5.833792686462402,2.2,2.2
6.0115134716033936,2.2,2.2
6.1861045360565186,2.2,2.2
6.362502574920654,2.2,2.2
6.534400701522827,2.2,2.2
6.709265232086182,2.2,2.2
6.882693767547607,2.2,2.2
7.053939342498779,2.2,2.2
7.227633476257324,2.2,2.2
7.401248931884766,2.2,2.2
7.5800535678863525,2.2,2.2
7.752870321273804,2.2,2.2
7.92817759513855,2.2,2.2
8.102842330932617,2.2,2.2
8.277582883834839,2.2,2.2
8.45118260383606,2.2,2.2
8.622859954833984,2.2,2.2
8.794759035110474,2.2,2.2
8.966183423995972,2.2,2.2
9.139404296875,2.2,2.2
9.312286853790283,2.2,2.2
9.488062143325806,2.2,2.2
9.668174743652344,2.2,2.2
9.844608545303345,2.2,2.2
10.018128871917725,2.2,2.2
10.19192123413086,2.2,2.2
10.367892503738403,2.2,2.2
10.54123067855835,2.2,2.2
10.720277786254883,2.2,2.2
10.893713235855103,2.2,2.2
11.066205024719238,2.2,2.2
11.239333868026733,2.2,2.2
11.411207437515259,2.2,2.2
11.582147359848022,2.2,2.2
11.753676891326904,2.2,2.2
11.92554521560669,2.2,2.2
12.099000692367554,2.2,2.2
12.270486831665039,2.2,2.2
12.440784215927124,2.2,2.2
12.613365650177002,2.2,2.2
12.789435863494873,2.2,2.2
13.081648826599121,2.2,2.2
13.25534701347351,2.2,2.2
13.42819595336914,2.2,2.2
13.603977918624878,2.2,2.2
13.77464771270752,2.2,2.2
13.949955701828003,2.2,2.2
14.125557899475098,2.2,2.2
14.300461292266846,2.2,2.2
14.48752498626709,2.2,2.2
14.659280776977539,2.2,2.2
14.83187985420227,2.2,2.2
15.004276275634766,2.2,2.2
15.178269624710083,2.2,2.2
15.350057363510132,2.2,2.2
15.5247323513031,2.2,2.2
15.698704957962036,2.2,2.2
15.87250304222107,2.2,2.2
16.046386003494263,2.2,2.2
16.220780849456787,2.2,2.2
16.39530301094055,2.2,2.2
16.568548440933228,2.2,2.2
16.741708517074585,2.2,2.2
16.913174152374268,2.2,2.2
17.0874080657959,2.2,2.2
17.268154621124268,2.2,2.2
17.442975282669067,2.2,2.2
17.617025136947632,2.2,2.2
17.791329622268677,2.2,2.2
17.963605880737305,2.2,2.2
18.138774156570435,2.2,2.2
18.308873891830444,2.2,2.2
18.47722339630127,2.2,2.2
