Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
6.61233,5912.65,5930.31,11843
6.71303,6407.02,7188.6,13595.6
6.81267,5995.22,5590.66,11585.9
6.91334,6233.92,6034.5,12268.4
7.01302,6352.84,5354.38,11707.2
7.11366,6004.41,4505.23,10509.6
7.21334,5570.05,4902.5,10472.6
7.31303,6591.56,6087.94,12679.5
7.41345,5906.85,4030.55,9937.4
7.51309,5888.64,4958.63,10847.3
7.61283,5679.03,5624.1,11303.1
7.71259,6752.53,6960.24,13712.8
7.8123,6011.16,5520.01,11531.2
7.91193,6336.8,5696.78,12033.6
8.01155,6236.69,5426.24,11662.9
8.11216,5665.97,4231.46,9897.43
8.21178,5817.17,5644.87,11462
8.31228,6247.68,6203.18,12450.9
8.4129,5873.13,4093.7,9966.83
8.51252,5959.16,4722.72,10681.9
8.61322,5947.58,5667.72,11615.3
8.71271,6264.14,6279.21,12543.4
8.81229,5977.78,5344.67,11322.5
8.91288,5655.46,4985.97,10641.4
9.01251,6207.88,5513.95,11721.8
9.1121,5820.88,4363.81,10184.7
9.21271,5878.43,4971.75,10850.2
9.31223,6054.25,6142.11,12196.4
9.41178,5757.63,4229.51,9987.15
9.51241,5956.47,5110.93,11067.4
9.61204,5728.23,5319.8,11048
9.71161,6445.36,6739.44,13184.8
9.8121,6267.77,6095.27,12363
9.9116,5824.88,5760.17,11585
10.0112,6085.99,5570.6,11656.6
10.1118,5761.58,4573.34,10334.9
10.2114,6176.77,5309.98,11486.7
10.311,5970.52,6044.87,12015.4
10.4116,6155.1,4724.4,10879.5
10.5112,5938.01,4633.91,10571.9
10.6119,6027.43,5555.2,11582.6
10.7124,6154.05,6624.19,12778.2
10.8119,6044.23,5960.93,12005.2
10.9123,6126.35,5994.2,12120.6
11.0129,5894.58,5185.47,11080
11.1125,5704.54,4368.84,10073.4
11.2121,5953.85,4955.32,10909.2
11.3127,5891.78,5745.18,11637
11.4123,6056.98,4832.58,10889.6
11.512,5897.3,4245.32,10142.6
11.6126,6016.23,5776.47,11792.7
11.7122,5675.54,6021.93,11697.5
11.8127,2714.25,2877.39,5591.65
11.9123,1263.94,1286.22,2550.16
12.0118,1037.91,809.583,1847.49
12.1124,1691.61,1342.08,3033.69
12.2129,720.498,704.131,1424.63
12.3125,701.547,554.017,1255.56
12.413,541.098,631.341,1172.44
12.5136,1755.07,1206.82,2961.89
12.6131,1870.15,1500.07,3370.22
12.7136,1907.28,1516.35,3423.63
12.82,5487.08,4156.08,9643.17
12.9142,54531.6,35076.7,89608.4
13.0149,60706.4,43814.2,104521
13.1144,18723,13990.2,32713.2
13.2148,9323.38,6690.72,16014.1
13.3154,13607.9,9895.12,23503.1
13.415,13986.5,9619.16,23605.7
13.5156,10658.9,7052.76,17711.7
13.6159,17076.1,10586,27662.2
13.7156,16763.3,11264.3,28027.6
13.8152,7514.68,5855.82,13370.5
13.9158,1165.21,138.93,1304.14
14.0155,1155.8,133.364,1289.16
14.1161,1109.44,92.5901,1202.03
14.2167,1092.03,92.8928,1184.93
14.3163,1035.64,52.4749,1088.12
14.4169,1082.61,82.2618,1164.87
14.5164,1105.42,89.7209,1195.14
14.6156,6996.43,6356.81,13353.2
14.7157,502.862,452.522,955.384
14.8157,1148.38,831.089,1979.47
14.9159,5444.36,4707.28,10151.6
15.0161,6270.2,5724.93,11995.1
15.1163,5965.44,5566.08,11531.5
15.2166,5943.03,4444.42,10387.4
15.3168,6320.02,5311.89,11631.9
15.4171,6142.6,6105.42,12248
15.5174,6232.42,4702.82,10935.2
15.6177,5865.31,4324.38,10189.7
15.7172,5652.78,5417.21,11070
15.8169,5735.89,6325.69,12061.6
15.9175,6227.49,6423.35,12650.8
16.0169,6118.94,6012.81,12131.8
16.1166,5894.71,5187.04,11081.8
16.2171,5804.85,4331.69,10136.5
16.3167,6113.78,5191.82,11305.6
16.4164,5658.87,5492.58,11151.4
16.517,5933.06,4736.42,10669.5
16.6166,6003.19,4382,10385.2
16.7173,6168.42,5617.45,11785.9
16.8168,5792.73,5968.24,11761
16.9165,6173.72,6226.11,12399.8
17.017,6073.75,5888.01,11961.8
17.1165,5654.61,5008.74,10663.4
17.2161,5721.15,4409.5,10130.7
17.3166,6115.13,4881.72,10996.8
17.4172,5856.85,5632.86,11489.7
17.5168,5979.57,5049.38,11029
17.6174,6142.41,4267.93,10410.3
17.717,5905.74,5812.36,11718.1
17.8166,5539.39,5487.45,11026.8
17.9172,6517.71,6751.74,13269.5
18.0167,5827.53,5604.95,11432.5
18.1173,6060.36,5462.72,11523.1
18.218,5935.61,4630.23,10565.8
18.3174,5723.65,4578.45,10302.1
18.4178,5703.06,5078.3,10781.4
18.5184,6094.14,5222.26,11316.4
18.619,6049.65,4167.84,10217.5
18.7186,5989.08,5429.26,11418.3
18.8193,6073.68,6096.46,12170.1
18.9188,5938.11,6263.15,12201.3
19.0185,5672.25,5477.05,11149.3
19.1192,6065.9,5759.76,11825.7
19.2188,5691.4,4662.53,10353.9
19.3194,5972.33,4487.98,10460.3
19.4189,5806.29,5287.49,11093.8
19.5185,5971.67,6233.17,12204.8
19.619,6062.22,4133.03,10195.3
19.7196,5719.09,4933.94,10653
19.8193,5717.46,5777.24,11494.7
19.9198,6164.36,6435.94,12600.3
20.0194,5647.37,5168.73,10816.1
20.1189,6114.61,5917.19,12031.8
20.2195,6389.44,5474.82,11864.3
20.3191,5610.93,4022.21,9633.14
20.4187,5765.04,4943.44,10708.5
20.5193,6324.03,6080.68,12404.7
20.6189,5568.47,4058.83,9627.3
20.7185,1791.35,1533.79,3325.14
20.819,745.037,1068.97,1814.01
20.9187,1074.99,670.323,1745.31
21.0193,899.381,657.377,1556.76
21.1198,926.478,868.141,1794.62
21.2194,943.202,873.166,1816.37
21.32,437.264,518.282,955.546
21.4206,2362.51,1857.86,4220.37
21.5202,1979.72,1740.34,3720.06
21.6205,1968.65,1804.78,3773.43
21.7209,13580.2,11741.1,25321.3
21.8217,64558.9,47345.3,111904
21.9213,56721.6,42755,99476.6
22.022,27260.5,22900.4,50160.9
22.1217,19076,17757.9,36833.9
22.2223,16354.3,15638.5,31992.8
22.3219,21588.3,20055,41643.3
22.4215,7132.11,4802.3,11934.4
22.522,1166.86,131.5,1298.36
22.6216,1044.78,46.6202,1091.4
22.7222,1093.45,116.788,1210.24
22.8228,992.405,71.7011,1064.11
22.9223,1016.36,45.0208,1061.38
23.0228,1056.67,58.9248,1115.59
23.1234,953.974,36.8902,990.864
23.2225,7002.43,6847.49,13849.9
23.3228,472.088,454.138,926.225
23.4218,2070.39,1371.87,3442.26
23.5221,5968.65,5537.18,11505.8
23.6224,5150.92,5144.61,10295.5
23.723,6662.37,7012.85,13675.2
23.8225,6012.43,6045.05,12057.5
23.9231,5894.21,5674.27,11568.5
24.0237,6208.39,4846.3,11054.7
24.1232,5606.51,4124.76,9731.27
24.2238,5980.57,5235.32,11215.9
24.3244,6213.32,5697.1,11910.4
24.424,6107.62,4512.02,10619.6
24.5246,5706.17,5073.85,10780
24.6252,5789.44,5624.53,11414
24.7249,6092.61,6731.73,12824.3
24.8254,6148.89,5766.63,11915.5
24.925,6113.77,6219.77,12333.5
25.0246,6147,5513.07,11660.1
25.1252,5648.3,4433.15,10081.4
25.2247,5668.19,4947.07,10615.3
25.3253,6887.56,6207.76,13095.3
25.4259,6042.96,4167.16,10210.1
25.5255,5982.43,4736.18,10718.6
25.6261,5967.76,5581.93,11549.7
25.7267,5879.78,6090.07,11969.9
25.8264,6099.52,5535.35,11634.9
25.9269,6199.52,5603.76,11803.3
26.0265,5894.37,5372.15,11266.5
26.126,5953.33,4259.58,10212.9
26.2266,6106.78,5141.38,11248.2
26.3262,6327.35,5849.33,12176.7
26.4258,6051.04,4128.87,10179.9
26.5265,5297.44,3964.98,9262.42
26.626,6411.76,5607.41,12019.2
26.7266,6043.29,5886.63,11929.9
26.8272,6911.79,6626.35,13538.1
26.9267,6094.25,5624.68,11718.9
27.0273,6782.62,6238.63,13021.3
27.1279,6126.53,4785.41,10911.9
27.2275,6264.98,5374.88,11639.9
27.3281,6587.39,6045.77,12633.2
27.4287,6361.29,4323.34,10684.6
27.5284,6429.17,5400.77,11829.9
27.629,6541.73,6757.34,13299.1
27.7284,7097.22,7011.31,14108.5
27.828,6057.41,5952.58,12010
27.9287,7227.78,6673.13,13900.9
28.0283,6804.48,5283.32,12087.8
28.1279,5943.48,4917.6,10861.1
28.2286,7202.27,6610.44,13812.7
28.3283,6381.54,4300.08,10681.6
28.429,6633.36,5459.69,12093.1
28.5286,6456.78,6220.48,12677.3
28.6293,6304.48,6248.95,12553.4
28.729,7351.67,7363.95,14715.6
28.8286,7094.27,6689.44,13783.7
28.9293,6694.83,5422.23,12117.1
29.0289,5692.11,4466.28,10158.4
29.1294,1800.03,1711.93,3511.96
29.229,556.395,488.837,1045.23
29.3286,934.936,786.95,1721.89
29.4292,2008.14,1526.14,3534.28
29.5288,2023.21,1630.02,3653.23
29.6285,2013.78,1659.31,3673.1
29.7291,4434.92,4586.23,9021.15
29.8288,57151.7,44843.4,101995
29.929,62166.7,47472.3,109639
30.0297,14739.8,14588.8,29328.6
30.1294,16900.3,16189.9,33090.3
30.23,19207.2,17385.3,36592.5
30.3307,18332.3,16015.2,34347.5
30.4303,16687.3,13728.8,30416.1
30.5308,14899,13154.7,28053.8
30.6303,1812.44,1188.51,3000.95
30.7298,1277.41,212.874,1490.28
30.8303,1223.93,102.037,1325.97
30.9308,1051.78,54.896,1106.67
31.0304,1065.78,72.2426,1138.03
31.1309,1033.97,43.4918,1077.47
31.2315,1136.54,93.9699,1230.51
31.3312,6672,5939.61,12611.6
31.4303,1507.12,1444.37,2951.49
31.5304,423.777,431.375,855.152
31.6304,4171.78,3102.94,7274.72
31.7308,7139.52,6273.36,13412.9
31.8304,6310.62,4293.08,10603.7
31.9309,6557.35,5382.59,11939.9
32.0315,6696.23,6189.69,12885.9
32.131,7196.06,7353.84,14549.9
32.2315,7048.5,6326.57,13375.1
32.3322,6562.64,5957.41,12520
32.4318,6939.1,5787.42,12726.5
32.5324,6356.13,5012.65,11368.8
32.633,6038.08,4966.26,11004.3
32.7326,7539.38,6257.44,13796.8
32.8332,6689.72,4806.2,11495.9
32.9329,6913.56,7359.09,14272.7
33.0324,7300.42,6766.4,14066.8
33.1329,7067.51,6688.32,13755.8
33.2324,7043.98,6917.9,13961.9
33.332,6458.31,5218.63,11676.9
33.4326,6692.9,5163.93,11856.8
33.5323,6308.25,5159.74,11468
33.632,6831.61,4698.49,11530.1
33.7317,6658.55,5120.04,11778.6
33.8313,6651.21,6332.92,12984.1
33.932,6409.52,6600,13009.5
34.0315,6819.35,5559.52,12378.9
34.1321,6847.69,6006.2,12853.9
34.2327,7358.52,5777.13,13135.7
34.3323,6843.24,5463.49,12306.7
34.433,5815.86,4664.4,10480.3
34.5326,7876.13,6263.15,14139.3
34.6323,6847.21,4973.44,11820.6
34.733,7208.31,6801.72,14010
34.8326,7216.58,6363.74,13580.3
34.9331,7415.7,6294.63,13710.3
35.0327,7340.86,7181.43,14522.3
35.1323,6593.21,5955.5,12548.7
35.2329,7205.91,5756.06,12962
35.3325,6017.51,5288.23,11305.7
35.4322,7314.11,5350.3,12664.4
35.5328,6809.76,5703.39,12513.1
35.6324,7488.08,7406.67,14894.7
35.733,6818.56,6701.54,13520.1
35.8326,6923.5,5858.61,12782.1
35.9323,6272.29,5976.71,12249
36.0328,6952.44,5465.03,12417.5
36.1324,6890.43,5106.27,11996.7
36.2329,6003.22,5019.23,11022.5
36.3335,7813.27,5600.71,13414
36.4331,6372.64,4492.25,10864.9
36.5337,7717.9,5766.96,13484.9
36.6343,6260.35,6095.98,12356.3
36.7338,7680,6037.37,13717.4
36.8343,4325.76,3771.27,8097.04
36.9348,2246.95,1825.37,4072.32
37.0344,2346.12,2058.9,4405.02
37.1339,1966.79,2061.59,4028.38
37.2348,35390.6,31320.9,66711.5
37.335,68572.6,53048.9,121621
37.4345,39569.8,29086.3,68656.1
37.5351,20860,18801.1,39661.1
37.6356,20251.1,18204.1,38455.2
37.7351,20204.6,18327.3,38531.9
37.8355,17831.1,15556.9,33388
37.936,4791.13,3666.46,8457.59
38.0438,1134.06,112.812,1246.87
38.1438,1063.94,68.969,1132.91
38.2398,1092.99,73.2051,1166.2
38.3398,1121.4,53.7306,1175.13
38.4478,1072.61,45.335,1117.94
38.5438,1055.34,56.0256,1111.37
38.6376,6810.51,6131.81,12942.3
38.738,2132.76,2400.74,4533.5
38.8371,393.919,530.092,924.011
38.9375,3968.39,3177.15,7145.53
39.0369,9004.41,6439.4,15443.8
39.1368,6801.93,5107.07,11909
39.2377,6709.42,5694.29,12403.7
39.3372,6790.62,4570.73,11361.3
39.4378,5608.44,3855.25,9463.7
39.5372,8966.76,8365.93,17332.7
39.6379,6452.18,6221.95,12674.1
39.7384,7503.45,6572.87,14076.3
39.838,7083.22,5514.95,12598.2
39.9374,7076.65,5262.91,12339.6
40.0378,6253.57,5187.62,11441.2
40.1384,6559.13,5990.17,12549.3
40.2381,7467.61,5061.92,12529.5
40.3375,5349.71,3868.48,9218.2
40.438,8953.37,8276.07,17229.4
40.5387,7662.24,6891.19,14553.4
40.6381,7499.9,6181.06,13681
40.7386,6829.48,6049.49,12879
40.8392,7438.2,5553.14,12991.3
40.9389,6627,5394.57,12021.6
41.0395,7326.76,5895.56,13222.3
41.1391,7364.61,5732.61,13097.2
41.2387,6228.98,4431.77,10660.7
41.3393,8574.71,7135.08,15709.8
41.4388,7547.44,6913.55,14461
41.5393,7259.96,6220.42,13480.4
41.6399,6203.37,4606.79,10810.2
41.7395,8772.49,6116.16,14888.6
41.8392,6377.81,5526.87,11904.7
41.9397,7522.47,5709.85,13232.3
42.0393,7251.31,4780.85,12032.2
42.1399,6710.03,5789.93,12500
42.2406,5431.96,5076.48,10508.4
42.3401,635.126,111,746.127
42.4407,589.242,78.8877,668.13
42.5413,471.545,83.3651,554.91
42.6408,554.701,57.4829,612.184
42.7414,657.762,136.712,794.474
42.8418,571.617,72.4122,644.029
42.9414,459.455,81.4144,540.869
43.0419,576.087,70.7782,646.865
43.1425,553.799,58.1856,611.985
43.242,461.985,72.1875,534.172
43.3415,559.386,61.5725,620.959
