Time (s),GPU 0 Power (W)
0.10017633438110352,34.45
0.2372889518737793,34.37
0.396181583404541,34.35
0.5701076984405518,34.37
0.7104799747467041,34.36
0.8709948062896729,34.36
1.0123038291931152,34.37
1.172562599182129,34.36
1.3133265972137451,34.37
1.43961501121521,34.36
1.5774600505828857,34.36
1.7018439769744873,34.36
1.848398208618164,34.36
1.9739644527435303,34.36
2.096116781234741,34.36
2.2438247203826904,34.35
2.367471218109131,34.36
2.505399465560913,34.36
2.6453776359558105,35.05
2.7857108116149902,34.46
2.909238576889038,34.36
3.092487335205078,39.2
3.2385013103485107,39.1
3.3626675605773926,37.02
3.485095262527466,36.92
3.6286416053771973,37.02
3.752459764480591,36.92
3.8763856887817383,37.02
4.019389390945435,36.92
4.169804096221924,36.92
4.292871713638306,36.92
4.424860239028931,36.92
4.546504974365234,37.02
4.6872265338897705,36.92
4.81035304069519,37.02
4.930524110794067,37.02
5.055083274841309,36.44
5.175125360488892,36.44
5.294943332672119,36.53
5.419023036956787,36.53
5.543805837631226,36.53
5.6655967235565186,36.44
5.832318067550659,36.73
5.9773688316345215,40.47
6.121309041976929,36.73
6.245567321777344,36.73
6.369316577911377,36.93
6.512733697891235,58.64
6.6359453201293945,146.58
6.780923366546631,206.33
6.927796840667725,259.73
7.092649698257446,263.06
7.211484909057617,228.02
7.371511459350586,239.71
7.52783989906311,261.43
7.6974170207977295,213.02
7.856289625167847,227.73
8.022352695465088,260.56
8.164066791534424,219.62
8.327783823013306,234.09
8.48776626586914,253.3
8.648391485214233,268.2
8.814738750457764,217.14
8.971880912780762,231.12
9.120044231414795,268.64
9.284160852432251,217.26
9.429935216903687,230.08
9.588274240493774,246.17
9.733197689056396,264.49
9.871988773345947,237.49
10.037010908126831,231.67
10.195372343063354,264.19
10.351500988006592,240.14
10.510416507720947,233.47
10.668061256408691,276.08
10.834678649902344,247.16
10.991462230682373,232.98
11.134532928466797,253.89
11.254230737686157,264.71
11.391698360443115,220.65
11.543866157531738,236.94
11.71406102180481,270.91
11.871363162994385,270.91
12.008943557739258,226.5
12.172266483306885,239.92
12.315542459487915,268.19
12.472028493881226,243.52
12.594258308410645,65.35
12.716517925262451,60.03
12.859007596969604,59.24
13.018348932266235,59.64
13.142055034637451,59.64
13.264310598373413,59.06
13.4238440990448,58.78
13.589536190032959,58.29
13.753281831741333,89.82
13.894805431365967,89.29
14.032603979110718,224.03
14.176440238952637,208.91
14.296882390975952,230.73
14.459640502929688,209.29
14.616120100021362,250.23
14.738003969192505,243.42
14.860804080963135,248.83
14.979794263839722,247.63
15.13955807685852,254.2
15.283703565597534,252.4
15.428709268569946,59.63
15.571655035018921,59.16
15.694526433944702,247.24
15.817857503890991,257.64
15.937933444976807,213.78
16.057947635650635,244.97
16.19958209991455,268.24
16.3404598236084,259.77
16.475732803344727,235.46
16.63833713531494,242.42
16.776400566101074,271.05
16.916186332702637,242.16
17.075647115707397,231.89
17.213741064071655,272.64
17.360356092453003,251.85
17.4844069480896,233.31
17.650652647018433,255.19
17.7757511138916,278.8
17.935696125030518,218.47
18.09243893623352,234.45
18.21616291999817,261.39
18.360576391220093,268.49
18.507063150405884,235.06
18.663848161697388,226.47
18.828405141830444,272.8
18.99243927001953,236.19
19.13685369491577,236.37
19.301002025604248,266.71
19.46371030807495,225.7
19.6242458820343,226.64
19.76777172088623,253.74
19.92584252357483,242.01
20.06950306892395,225.38
20.209053993225098,249.18
20.371370792388916,267.81
20.532739877700806,232.43
20.703913688659668,261.05
20.866278886795044,262.7
21.00526762008667,230.21
21.16521978378296,229.94
21.32858371734619,59.93
21.45128107070923,60.53
21.586835145950317,61.32
21.709844827651978,61.32
21.82961130142212,60.91
21.95106077194214,60.24
22.07397985458374,60.04
22.235053777694702,59.63
22.390565156936646,59.53
22.552152395248413,166.46
22.712602615356445,243.46
22.878800630569458,241.52
23.016756534576416,247.48
23.160976886749268,254.48
23.284897089004517,256.38
23.408266067504883,251.87
23.552972078323364,250.86
23.675408363342285,250.59
23.799711227416992,248.45
23.957203149795532,76.13
24.080753326416016,61.9
24.225786924362183,245.16
24.38589859008789,233.39
24.5278058052063,275.41
24.657188177108765,227.13
24.80138373374939,235.33
24.963916778564453,253.65
25.130479097366333,237.92
25.268392324447632,229.21
25.43210220336914,256.73
25.598750829696655,267.7
25.73766016960144,226.58
25.8809072971344,234.29
26.039913177490234,266.28
26.201900243759155,236.26
26.35982084274292,234.11
26.511918783187866,273.48
26.672699213027954,254.03
26.83291745185852,235.98
26.976812839508057,250.04
27.11606740951538,229.55
27.275769472122192,227.79
27.435935497283936,265.85
27.601430892944336,231.36
27.74133062362671,260.49
27.879961252212524,240.96
28.04366445541382,230.74
28.184601306915283,243.47
28.333802938461304,245.96
28.491909980773926,252.96
28.637543201446533,243.34
28.79994297027588,262.73
28.92488145828247,260.28
29.08590579032898,249.01
29.229468822479248,220.16
29.373988389968872,217.06
29.537593126296997,236.39
29.695947408676147,247.23
29.859382152557373,63.47
29.983415365219116,63.67
30.10205841064453,64.26
30.263190269470215,63.58
30.41885805130005,61.8
30.57610273361206,61.51
30.73626971244812,61.89
30.881253957748413,247.37
31.027400255203247,245.49
31.168972730636597,238.98
31.309664726257324,241.18
31.454567909240723,255.24
31.61596941947937,250.98
31.73956060409546,255.53
31.862060070037842,244.45
32.00635242462158,241.67
32.15150022506714,63.57
32.30750036239624,249.14
32.46357774734497,250.66
32.601086378097534,239.62
32.74468946456909,256.06
32.90442705154419,233.31
33.03246593475342,254.69
33.194420337677,251.36
33.321327686309814,236.86
33.46521973609924,241.64
33.61042022705078,252.35
33.75312423706055,254.05
33.897024393081665,258.26
34.040926694869995,246.08
34.18364763259888,251.25
34.32466673851013,243.7
34.492560386657715,248.64
34.63303804397583,264.57
34.79833984375,252.82
34.9651153087616,243.59
35.104323387145996,244.31
35.25067758560181,246.48
35.37131714820862,249.53
35.53168082237244,257.18
35.67310571670532,250.25
35.81944966316223,245.55
35.97773861885071,243.04
36.14679932594299,244.71
36.27272176742554,241.88
36.436599016189575,230.22
36.599700689315796,231.05
36.74045252799988,249.48
36.88367486000061,254.63
37.042479038238525,239.13
37.180137157440186,208.0
37.32357048988342,209.66
37.48424243927002,67.68
37.647671699523926,64.94
37.78327441215515,65.16
37.938371896743774,64.37
38.10442566871643,208.65
38.27074885368347,208.48
38.414878845214844,206.25
38.57426619529724,210.4
38.69441270828247,220.16
38.82025122642517,226.13
38.97910284996033,206.92
39.10359978675842,222.95
39.22487664222717,225.1
39.343565225601196,85.02
39.50645899772644,65.36
39.668426275253296,247.0
39.80839514732361,227.49
39.93004012107849,236.35
40.05080699920654,233.57
40.16546130180359,228.48
40.323760747909546,250.12
40.450342893600464,237.2
40.56970572471619,226.05
40.7124719619751,218.62
40.85231852531433,240.96
41.017030000686646,223.99
41.162574768066406,246.53
41.30162167549133,228.04
41.441301107406616,251.46
41.60187840461731,228.95
41.76215100288391,254.75
41.883321046829224,234.56
42.01954650878906,242.46
42.1620512008667,236.21
42.326661109924316,229.26
42.48395037651062,225.93
42.64432168006897,252.51
42.7841215133667,234.72
42.90637469291687,244.15
43.026506185531616,242.03
43.187464237213135,246.49
43.32390356063843,247.18
43.44427013397217,242.63
43.56547451019287,239.82
43.70763111114502,250.93
43.82925295829773,242.18
43.971689224243164,240.6
44.093066692352295,245.38
44.23581528663635,245.05
44.362404108047485,229.24
44.48707938194275,253.3
44.606515645980835,126.18
44.76268982887268,67.29
44.92303919792175,67.0
45.08180904388428,66.31
45.240851163864136,209.22
45.38714361190796,216.75
45.54467988014221,211.81
45.712212800979614,212.95
45.8367440700531,224.08
45.97598433494568,215.61
46.123536825180054,215.96
46.249258041381836,221.91
46.36932611465454,218.14
46.492677211761475,73.28
46.63592886924744,67.1
46.757059812545776,69.95
46.91598868370056,67.29
47.06385326385498,66.52
47.18611001968384,66.23
47.327218532562256,65.34
47.46376657485962,66.04
47.60292100906372,65.05
47.721779346466064,66.02
47.870856523513794,64.85
47.99340081214905,65.82
48.11429142951965,65.84
48.23373484611511,64.94
48.375041484832764,43.72
48.534252643585205,40.98
48.69189453125,40.98
48.8281614780426,40.97
48.94785523414612,41.08
49.07151222229004,40.88
49.19059634208679,40.77
49.3335862159729,43.42
49.453155279159546,43.62
49.71879291534424,42.35
